spot_id,region,pdf_x_pt,pdf_y_pt,panel_x_norm,panel_y_norm,fill_hex,fill_r,fill_g,fill_b,marker_width_pt,marker_height_pt,drawing_index,visible_status
region_0211,Cancer,190.45199584960938,109.3075065612793,0.9285730190529078,0.4230751678463671,#ca2f2e,202,47,46,1.246002197265625,1.5250015258789062,349,vector_marker_extracted
region_0212,Cancer,193.6840057373047,109.3075065612793,0.9643032095819858,0.4230751678463671,#ca2f2e,202,47,46,1.246002197265625,1.5250015258789062,356,vector_marker_extracted
region_0213,Duct Epithelium,135.5330047607422,112.48054122924805,0.3214381143174468,0.4615347981393276,#3b80b1,59,128,177,1.246002197265625,1.5250015258789062,25,vector_marker_extracted
region_0214,Duct Epithelium,138.76300048828125,112.48054122924805,0.3571460381058156,0.4615347981393276,#3b80b1,59,128,177,1.246002197265625,1.5250015258789062,46,vector_marker_extracted
region_0215,Duct Epithelium,141.99400329589844,112.48054122924805,0.392865095264539,0.4615347981393276,#3b80b1,59,128,177,1.246002197265625,1.5250015258789062,67,vector_marker_extracted
region_0216,Stroma,145.2239990234375,112.48054122924805,0.4285730190529078,0.4615347981393276,#1b449c,27,68,156,1.246002197265625,1.5250015258789062,89,vector_marker_extracted
region_0217,Stroma,148.4550018310547,112.48054122924805,0.4642920762116312,0.4615347981393276,#1b449c,27,68,156,1.246002197265625,1.5250015258789062,111,vector_marker_extracted
region_0218,Stroma,151.68499755859375,112.48054122924805,0.5,0.4615347981393276,#1b449c,27,68,156,1.246002197265625,1.5250015258789062,133,vector_marker_extracted
region_0219,Pancreatic,154.91600036621094,112.48054122924805,0.5357190571587234,0.4615347981393276,#99ce83,153,206,131,1.246002197265625,1.5250015258789062,154,vector_marker_extracted
region_0220,Pancreatic,158.14700317382812,112.48054122924805,0.5714381143174468,0.4615347981393276,#99ce83,153,206,131,1.246002197265625,1.5250015258789062,175,vector_marker_extracted
region_0221,Pancreatic,161.3769989013672,112.48054122924805,0.6071460381058156,0.4615347981393276,#99ce83,153,206,131,1.246002197265625,1.5250015258789062,195,vector_marker_extracted
region_0222,Pancreatic,164.60800170898438,112.48054122924805,0.642865095264539,0.4615347981393276,#99ce83,153,206,131,1.246002197265625,1.5250015258789062,217,vector_marker_extracted
region_0223,Pancreatic,167.83799743652344,112.48054122924805,0.6785730190529078,0.4615347981393276,#99ce83,153,206,131,1.246002197265625,1.5250015258789062,238,vector_marker_extracted
region_0224,Stroma,174.3000030517578,112.48054122924805,0.7500111333703546,0.4615347981393276,#1b449c,27,68,156,1.246002197265625,1.5250015258789062,275,vector_marker_extracted
region_0225,Cancer,177.52999877929688,112.48054122924805,0.7857190571587234,0.4615347981393276,#ca2f2e,202,47,46,1.246002197265625,1.5250015258789062,292,vector_marker_extracted
region_0226,Cancer,180.76100158691406,112.48054122924805,0.8214381143174468,0.4615347981393276,#ca2f2e,202,47,46,1.246002197265625,1.5250015258789062,308,vector_marker_extracted
region_0227,Cancer,183.99099731445312,112.48054122924805,0.8571460381058156,0.4615347981393276,#ca2f2e,202,47,46,1.246002197265625,1.5250015258789062,324,vector_marker_extracted
region_0228,Cancer,187.2220001220703,112.48054122924805,0.892865095264539,0.4615347981393276,#ca2f2e,202,47,46,1.246002197265625,1.5250015258789062,338,vector_marker_extracted
region_0229,Cancer,190.45199584960938,112.48054122924805,0.9285730190529078,0.4615347981393276,#ca2f2e,202,47,46,1.246002197265625,1.5250015258789062,348,vector_marker_extracted
region_0230,Cancer,193.6840057373047,112.48054122924805,0.9643032095819858,0.4615347981393276,#ca2f2e,202,47,46,1.246002197265625,1.5250015258789062,355,vector_marker_extracted
region_0231,Cancer,196.91299438476562,112.48054122924805,1.0,0.4615347981393276,#ca2f2e,202,47,46,1.246002197265625,1.5250015258789062,364,vector_marker_extracted
region_0232,Duct Epithelium,135.5330047607422,115.65351486206055,0.3214381143174468,0.49999368863906485,#3b80b1,59,128,177,1.246002197265625,1.5250015258789062,24,vector_marker_extracted
region_0233,Duct Epithelium,138.76300048828125,115.65351486206055,0.3571460381058156,0.49999368863906485,#3b80b1,59,128,177,1.246002197265625,1.5250015258789062,45,vector_marker_extracted
region_0234,Duct Epithelium,141.99400329589844,115.65351486206055,0.392865095264539,0.49999368863906485,#3b80b1,59,128,177,1.246002197265625,1.5250015258789062,66,vector_marker_extracted
region_0235,Stroma,145.2239990234375,115.65351486206055,0.4285730190529078,0.49999368863906485,#1b449c,27,68,156,1.246002197265625,1.5250015258789062,88,vector_marker_extracted
region_0236,Stroma,148.4550018310547,115.65351486206055,0.4642920762116312,0.49999368863906485,#1b449c,27,68,156,1.246002197265625,1.5250015258789062,110,vector_marker_extracted
region_0237,Stroma,151.68499755859375,115.65351486206055,0.5,0.49999368863906485,#1b449c,27,68,156,1.246002197265625,1.5250015258789062,132,vector_marker_extracted
region_0238,Stroma,154.91600036621094,115.65351486206055,0.5357190571587234,0.49999368863906485,#1b449c,27,68,156,1.246002197265625,1.5250015258789062,153,vector_marker_extracted
region_0239,Pancreatic,158.14700317382812,115.65351486206055,0.5714381143174468,0.49999368863906485,#99ce83,153,206,131,1.246002197265625,1.5250015258789062,174,vector_marker_extracted
region_0240,Stroma,161.3769989013672,115.65351486206055,0.6071460381058156,0.49999368863906485,#1b449c,27,68,156,1.246002197265625,1.5250015258789062,194,vector_marker_extracted
region_0241,Stroma,164.60800170898438,115.65351486206055,0.642865095264539,0.49999368863906485,#1b449c,27,68,156,1.246002197265625,1.5250015258789062,216,vector_marker_extracted
region_0242,Stroma,167.83799743652344,115.65351486206055,0.6785730190529078,0.49999368863906485,#1b449c,27,68,156,1.246002197265625,1.5250015258789062,237,vector_marker_extracted
region_0243,Stroma,171.06900024414062,115.65351486206055,0.7142920762116312,0.49999368863906485,#1b449c,27,68,156,1.246002197265625,1.5250015258789062,256,vector_marker_extracted
region_0244,Stroma,174.3000030517578,115.65351486206055,0.7500111333703546,0.49999368863906485,#1b449c,27,68,156,1.246002197265625,1.5250015258789062,274,vector_marker_extracted
region_0245,Stroma,177.52999877929688,115.65351486206055,0.7857190571587234,0.49999368863906485,#1b449c,27,68,156,1.246002197265625,1.5250015258789062,291,vector_marker_extracted
region_0246,Cancer,180.76100158691406,115.65351486206055,0.8214381143174468,0.49999368863906485,#ca2f2e,202,47,46,1.246002197265625,1.5250015258789062,307,vector_marker_extracted
region_0247,Cancer,183.99099731445312,115.65351486206055,0.8571460381058156,0.49999368863906485,#ca2f2e,202,47,46,1.246002197265625,1.5250015258789062,323,vector_marker_extracted
region_0248,Cancer,187.2220001220703,115.65351486206055,0.892865095264539,0.49999368863906485,#ca2f2e,202,47,46,1.246002197265625,1.5250015258789062,337,vector_marker_extracted
region_0249,Cancer,190.45199584960938,115.65351486206055,0.9285730190529078,0.49999368863906485,#ca2f2e,202,47,46,1.246002197265625,1.5250015258789062,347,vector_marker_extracted
region_0250,Cancer,193.6840057373047,115.65351486206055,0.9643032095819858,0.49999368863906485,#ca2f2e,202,47,46,1.246002197265625,1.5250015258789062,354,vector_marker_extracted
region_0251,Cancer,196.91299438476562,115.65351486206055,1.0,0.49999368863906485,#ca2f2e,202,47,46,1.246002197265625,1.5250015258789062,363,vector_marker_extracted
region_0252,Duct Epithelium,132.302001953125,118.8265495300293,0.2857190571587234,0.5384533189320253,#3b80b1,59,128,177,1.246002197265625,1.5250015258789062,6,vector_marker_extracted
region_0253,Duct Epithelium,138.76300048828125,118.8265495300293,0.3571460381058156,0.5384533189320253,#3b80b1,59,128,177,1.246002197265625,1.5250015258789062,44,vector_marker_extracted
region_0254,Duct Epithelium,141.99400329589844,118.8265495300293,0.392865095264539,0.5384533189320253,#3b80b1,59,128,177,1.246002197265625,1.5250015258789062,65,vector_marker_extracted
region_0255,Stroma,145.2239990234375,118.8265495300293,0.4285730190529078,0.5384533189320253,#1b449c,27,68,156,1.246002197265625,1.5250015258789062,87,vector_marker_extracted
region_0256,Stroma,148.4550018310547,118.8265495300293,0.4642920762116312,0.5384533189320253,#1b449c,27,68,156,1.246002197265625,1.5250015258789062,109,vector_marker_extracted
region_0257,Stroma,151.68499755859375,118.8265495300293,0.5,0.5384533189320253,#1b449c,27,68,156,1.246002197265625,1.5250015258789062,131,vector_marker_extracted
region_0258,Stroma,154.91600036621094,118.8265495300293,0.5357190571587234,0.5384533189320253,#1b449c,27,68,156,1.246002197265625,1.5250015258789062,152,vector_marker_extracted
region_0259,Stroma,158.14700317382812,118.8265495300293,0.5714381143174468,0.5384533189320253,#1b449c,27,68,156,1.246002197265625,1.5250015258789062,173,vector_marker_extracted
