series,sample_index,log10_molar,plotted_value,pdf_x_pt,pdf_y_pt,status
ADR,148,-6.7982186459922875,75.2005144086559,147.02499389648438,236.01803588867188,curve_path_traced
ADR,149,-6.792279233029786,75.29921087072995,147.08099365234375,235.96304321289062,curve_path_traced
ADR,150,-6.78071760736109,75.40152218657586,147.19000244140625,235.90603637695312,curve_path_traced
ADR,151,-6.774778194398589,75.4948511385038,147.24600219726562,235.85403442382812,curve_path_traced
ADR,152,-6.751020542548582,75.89864673597378,147.47000122070312,235.62904357910156,curve_path_traced
ADR,153,-6.739034904292373,75.99917801018961,147.5830078125,235.57302856445312,curve_path_traced
ADR,154,-6.733521122286039,76.20018578810956,147.63499450683594,235.46102905273438,curve_path_traced
ADR,155,-6.727474896992331,76.29707482329768,147.69200134277344,235.40704345703125,curve_path_traced
ADR,156,-6.715596071067328,76.39579867062757,147.8040008544922,235.35203552246094,curve_path_traced
ADR,157,-6.7037172451423235,76.59858649017761,147.91600036621094,235.23904418945312,curve_path_traced
ADR,158,-6.69183841921732,76.69909037913757,148.0279998779297,235.18304443359375,curve_path_traced
ADR,159,-6.6862178248797814,76.79959426809755,148.08099365234375,235.12704467773438,curve_path_traced
ADR,160,-6.668399585992276,77.10110593497748,148.24899291992188,234.95904541015625,curve_path_traced
ADR,161,-6.662460173029774,77.19624231379136,148.30499267578125,234.90603637695312,curve_path_traced
ADR,162,-6.650474534773565,77.29674620275134,148.41799926757812,234.85003662109375,curve_path_traced
ADR,163,-6.644535121811062,77.39725009171131,148.4739990234375,234.79403686523438,curve_path_traced
ADR,164,-6.638914527473523,77.49956140755721,148.52699279785156,234.73703002929688,curve_path_traced
ADR,165,-6.627034083179865,77.60006529651719,148.63900756835938,234.6810302734375,curve_path_traced
ADR,166,-6.621094670217364,77.69876175859123,148.69500732421875,234.62603759765625,curve_path_traced
ADR,167,-6.6151552572548615,77.69876175859123,148.75100708007812,234.62603759765625,curve_path_traced
ADR,168,-6.603171237367307,77.80107307443714,148.86399841308594,234.56903076171875,curve_path_traced
ADR,169,-6.591716424029817,77.99668595695515,148.9720001220703,234.4600372314453,curve_path_traced
ADR,170,-6.579837598104813,78.09718984591512,149.08399963378906,234.40403747558594,curve_path_traced
ADR,171,-6.5678535782172585,78.29819762383507,149.19699096679688,234.2920379638672,curve_path_traced
ADR,172,-6.555974752292254,78.39870151279504,149.30899047851562,234.2360382080078,curve_path_traced
ADR,173,-6.550035339329753,78.49920540175502,149.364990234375,234.18003845214844,curve_path_traced
ADR,174,-6.543989114036045,78.49920540175502,149.4219970703125,234.18003845214844,curve_path_traced
ADR,175,-6.53242748836735,78.599709290715,149.531005859375,234.12403869628906,curve_path_traced
ADR,176,-6.526594887736054,78.7020206065609,149.58599853515625,234.06703186035156,curve_path_traced
ADR,177,-6.514609249479845,78.795322173233,149.69900512695312,234.01504516601562,curve_path_traced
